    2261,   0.017152,  -0.971922,  -0.337240
    2271,   0.013856,  -0.977538,  -0.335409
    2291,   0.012879,  -0.977416,  -0.331502
    2301,   0.013368,  -0.980468,  -0.341757
    2321,   0.008973,  -0.978026,  -0.347128
    2331,   0.011292,  -0.974974,  -0.352500
    2351,   0.006409,  -0.979857,  -0.345175
    2381,   0.005432,  -0.978026,  -0.342733
    2411,   0.002869,  -0.985961,  -0.328572
    2421,   0.005799,  -0.979125,  -0.322957
    2431,   0.008362,  -0.975951,  -0.328939
    2441,   0.008240,  -0.985839,  -0.340902
    2451,   0.012025,  -0.981078,  -0.345297
    2471,   0.019471,  -0.968626,  -0.346151
    2491,   0.024110,  -0.982055,  -0.357749
    2511,   0.014100,  -0.985473,  -0.336996
    2521,   0.014344,  -0.987182,  -0.335164
    2541,   0.004944,  -0.966673,  -0.346518
    2561,   0.005066,  -0.971678,  -0.346274
    2591,   0.005921,  -0.970457,  -0.333455
    2621,   0.008851,  -0.976439,  -0.336507
    2631,   0.014588,  -0.988891,  -0.344687
    2651,   0.017396,  -0.981688,  -0.350546
    2681,   0.025453,  -0.975096,  -0.363120
    2691,   0.013612,  -0.981566,  -0.356040
    2701,   0.009095,  -0.981566,  -0.342611
    2721,   0.009461,  -0.986083,  -0.335042
    2731,   0.005799,  -0.971800,  -0.326619
    2751,   0.007142,  -0.973997,  -0.341635
    2771,   0.007752,  -0.974120,  -0.340536
    2781,   0.008118,  -0.983275,  -0.356528
    2811,   0.008484,  -0.984374,  -0.350302
    2831,   0.007020,  -0.975462,  -0.335409
    2851,   0.009339,  -0.983519,  -0.331868
    2861,   0.016908,  -0.979369,  -0.354819
    2881,   0.022157,  -0.980345,  -0.366538
    2901,   0.026430,  -0.977904,  -0.366172
    2931,   0.025209,  -0.974242,  -0.362632
    2961,   0.011903,  -0.982055,  -0.343222
    2971,   0.005066,  -0.990478,  -0.329305
    2991,   0.006165,  -0.984008,  -0.329549
    3011,   0.003845,  -0.989135,  -0.334798
    3031,   0.009461,  -0.963255,  -0.344198
    3051,   0.011414,  -0.961423,  -0.345297
    3061,   0.012269,  -0.959470,  -0.344809
    3081,   0.015443,  -0.964475,  -0.346640
    3111,   0.018983,  -0.972777,  -0.348959
    3131,   0.016297,  -0.983642,  -0.359946
    3151,   0.016541,  -0.999268,  -0.361045
    3171,   0.018617,  -1.000000,  -0.349936
    3191,   0.005921,  -0.968748,  -0.338705
    3211,   0.007752,  -0.957883,  -0.343832
    3231,   0.012391,  -0.972533,  -0.342855
    3251,   0.014466,  -0.990234,  -0.348715
    3261,   0.011536,  -0.988647,  -0.346518
    3281,   0.013612,  -0.985229,  -0.346518
    3301,   0.017396,  -0.982787,  -0.338827
    3321,   0.020204,  -0.973021,  -0.349570
    3331,   0.029482,  -0.974608,  -0.348593
    3351,   0.019227,  -0.973631,  -0.357016
    3371,   0.019349,  -0.971312,  -0.351767
    3391,   0.018617,  -0.979369,  -0.344809
    3411,   0.012757,  -0.992431,  -0.330403
    3431,   0.015687,  -0.982055,  -0.333211
    3451,   0.009949,  -0.987548,  -0.349936
    3461,   0.012391,  -0.982665,  -0.347739
    3471,   0.015809,  -0.979735,  -0.343954
    3491,   0.014710,  -0.978758,  -0.349692
    3511,   0.019593,  -0.977904,  -0.344809
    3532,   0.018373,  -0.981322,  -0.343954
    3542,   0.019716,  -0.983275,  -0.339193
    3561,   0.021425,  -0.978881,  -0.343710
    3581,   0.019838,  -0.978392,  -0.347494
    3591,   0.012391,  -0.979003,  -0.349448
    3601,   0.013856,  -0.979735,  -0.348471
    3621,   0.009949,  -0.987060,  -0.344931
    3651,   0.013490,  -0.981688,  -0.344076
    3672,   0.014588,  -0.979857,  -0.343222
    3691,   0.012269,  -0.979613,  -0.336752
    3711,   0.009827,  -0.971434,  -0.336752
    3721,   0.018251,  -0.962888,  -0.354575
    3741,   0.022890,  -0.967771,  -0.366783
    3751,   0.014955,  -0.973753,  -0.354575
    3771,   0.013856,  -0.976439,  -0.341390
    3791,   0.014832,  -0.983153,  -0.340170
    3821,   0.014588,  -0.993530,  -0.342001
    3831,   0.015687,  -0.976317,  -0.350790
    3851,   0.015565,  -0.973387,  -0.356406
    3861,   0.017640,  -0.968626,  -0.357627
    3881,   0.017152,  -0.969236,  -0.356284
    3901,   0.014222,  -0.979979,  -0.341146
    3921,   0.011414,  -0.986694,  -0.335042
    3931,   0.015077,  -0.993774,  -0.337118
    3951,   0.014588,  -0.992309,  -0.338461
    3961,   0.007630,  -0.992797,  -0.341757
    3981,   0.007508,  -0.987182,  -0.345663
    4001,   0.005432,  -0.953488,  -0.345297
    4011,   0.011048,  -0.951779,  -0.343588
    4031,   0.016419,  -0.963133,  -0.338705
